_name=Carrier
_uid=0
_timeDuration_sec=1
_numSamplePts=2000
_samplingFreq_Hz=2000
_isComplex=1
_carrierFreq_Hz =1000
# xR, xI
0.877238,0.480056
-0.877233,-0.480064
0.877229,0.480072
-0.877342,-0.479865
0.877338,0.479873
-0.877334,-0.479881
0.877329,0.479889
-0.877325,-0.479897
0.877438,0.47969
-0.877434,-0.479698
0.877429,0.479706
-0.877425,-0.479714
0.877421,0.479722
-0.877534,-0.479515
0.877529,0.479523
-0.877525,-0.479531
0.877521,0.479539
-0.877516,-0.479547
0.877629,0.47934
-0.877625,-0.479348
0.877621,0.479356
-0.877616,-0.479364
0.877612,0.479371
-0.877725,-0.479165
0.877721,0.479173
-0.877716,-0.479181
0.877712,0.479188
-0.877708,-0.479196
0.877821,0.47899
-0.877816,-0.478997
0.877812,0.479005
-0.877808,-0.479013
0.877803,0.479021
-0.877916,-0.478814
0.877912,0.478822
-0.877908,-0.47883
0.877903,0.478838
-0.877899,-0.478846
0.878012,0.478639
-0.878007,-0.478647
0.878003,0.478655
-0.877999,-0.478663
0.877995,0.478671
-0.878107,-0.478464
0.878103,0.478472
-0.878099,-0.47848
0.878094,0.478487
-0.87809,-0.478495
0.878203,0.478289
-0.878198,-0.478297
0.878194,0.478304
-0.87819,-0.478312
0.878186,0.47832
-0.878298,-0.478113
0.878294,0.478121
-0.87829,-0.478129
0.878285,0.478137
-0.878281,-0.478145
0.878394,0.477938
-0.878389,-0.477946
0.878385,0.477954
-0.878381,-0.477962
0.878493,0.477755
-0.878489,-0.477763
0.878485,0.477771
-0.87848,-0.477778
0.878476,0.477786
-0.878588,-0.47758
0.878584,0.477587
-0.87858,-0.477595
0.878576,0.477603
-0.878571,-0.477611
0.878684,0.477404
-0.87868,-0.477412
0.878675,0.47742
-0.878671,-0.477428
0.878667,0.477436
-0.878779,-0.477229
0.878775,0.477237
-0.878771,-0.477244
0.878766,0.477252
-0.878762,-0.47726
0.878874,0.477053
-0.87887,-0.477061
0.878866,0.477069
-0.878862,-0.477077
0.878857,0.477085
-0.878969,-0.476878
0.878965,0.476886
-0.878961,-0.476894
0.878957,0.476901
-0.878953,-0.476909
0.879065,0.476703
-0.87906,-0.47671
0.879056,0.476718
-0.879052,-0.476726
0.879048,0.476734
-0.87916,-0.476527
0.879156,0.476535
-0.879151,-0.476543
0.879147,0.476551
-0.879143,-0.476558
0.879255,0.476352
-0.879251,-0.476359
0.879246,0.476367
-0.879242,-0.476375
0.879238,0.476383
-0.87935,-0.476176
0.879346,0.476184
-0.879341,-0.476192
0.879337,0.4762
-0.879333,-0.476207
0.879445,0.476001
-0.879441,-0.476008
0.879436,0.476016
-0.879432,-0.476024
0.879428,0.476032
-0.87954,-0.475825
0.879536,0.475833
-0.879532,-0.475841
0.879527,0.475848
-0.879523,-0.475856
0.879635,0.475649
-0.879631,-0.475657
0.879626,0.475665
-0.879622,-0.475673
0.879618,0.475681
-0.87973,-0.475474
0.879726,0.475482
-0.879721,-0.47549
0.879717,0.475497
-0.879713,-0.475505
0.879825,0.475298
-0.879821,-0.475306
0.879816,0.475314
-0.879812,-0.475322
0.879808,0.47533
-0.87992,-0.475123
0.879915,0.47513
-0.879911,-0.475138
0.879907,0.475146
-0.879903,-0.475154
0.880014,0.474947
-0.88001,-0.474955
0.880006,0.474963
-0.880002,-0.474971
0.879997,0.474978
-0.880109,-0.474771
0.880105,0.474779
-0.880101,-0.474787
0.880096,0.474795
-0.880092,-0.474803
0.880204,0.474596
-0.880084,-0.474818
0.88008,0.474826
-0.879959,-0.475049
0.879839,0.475272
-0.879835,-0.475279
0.879715,0.475502
-0.87971,-0.47551
0.87959,0.475732
-0.879586,-0.47574
0.879465,0.475963
-0.879345,-0.476185
0.879341,0.476193
-0.87922,-0.476416
0.879216,0.476424
-0.879095,-0.476646
0.879091,0.476654
-0.87897,-0.476876
0.87885,0.477099
-0.878845,-0.477107
0.878725,0.477329
-0.87872,-0.477337
0.8786,0.477559
-0.878595,-0.477567
0.878474,0.477789
-0.87847,-0.477797
0.878349,0.478019
-0.878228,-0.478242
0.878224,0.478249
-0.878103,-0.478472
0.878099,0.478479
-0.877978,-0.478702
0.877973,0.478709
-0.877852,-0.478932
0.877731,0.479154
-0.877727,-0.479162
0.877605,0.479384
-0.877601,-0.479391
0.87748,0.479614
-0.877476,-0.479621
0.877354,0.479843
-0.877233,-0.480065
0.877228,0.480073
-0.877107,-0.480295
0.877103,0.480303
-0.876981,-0.480525
0.876977,0.480533
-0.876855,-0.480755
0.876851,0.480762
-0.876729,-0.480984
0.876607,0.481206
-0.876603,-0.481214
0.876481,0.481436
-0.876477,-0.481444
0.876355,0.481665
-0.876351,-0.481673
0.876229,0.481895
-0.876107,-0.482117
0.876103,0.482124
-0.875981,-0.482346
0.875976,0.482354
-0.875854,-0.482576
0.87585,0.482583
-0.875728,-0.482805
0.875606,0.483027
-0.875601,-0.483034
0.875479,0.483256
-0.875475,-0.483264
0.875353,0.483485
-0.875348,-0.483493
0.875226,0.483715
-0.875221,-0.483722
0.875099,0.483944
-0.874977,-0.484165
0.874972,0.484173
-0.87485,-0.484394
0.874845,0.484402
-0.874723,-0.484624
0.874718,0.484631
-0.874596,-0.484853
0.874473,0.485074
-0.874469,-0.485082
0.874346,0.485303
-0.874342,-0.485311
0.874219,0.485532
-0.874215,-0.48554
0.874092,0.485761
-0.873969,-0.485982
0.873964,0.48599
-0.873841,-0.486211
0.873837,0.486219
-0.873714,-0.48644
0.87371,0.486448
-0.873586,-0.486669
0.873582,0.486677
-0.873459,-0.486898
0.873336,0.487119
-0.873331,-0.487127
0.873208,0.487348
-0.873204,-0.487355
0.87308,0.487576
-0.873076,-0.487584
0.872953,0.487805
-0.872829,-0.488026
0.872825,0.488034
-0.872701,-0.488254
0.872697,0.488262
-0.872573,-0.488483
0.872569,0.488491
-0.872445,-0.488712
0.872322,0.488932
-0.872317,-0.48894
0.872194,0.489161
-0.872189,-0.489169
0.872065,0.489389
-0.872061,-0.489397
0.871937,0.489618
-0.871933,-0.489626
0.871809,0.489846
-0.871685,-0.490067
0.871681,0.490075
-0.871557,-0.490295
0.871552,0.490303
-0.871428,-0.490523
0.871424,0.490531
-0.8713,-0.490752
0.871175,0.490972
-0.871171,-0.49098
0.871047,0.4912
-0.871042,-0.491208
0.870918,0.491428
-0.870914,-0.491436
0.870789,0.491657
-0.870665,-0.491877
0.87066,0.491885
-0.870536,-0.492105
0.870531,0.492113
-0.870407,-0.492333
0.870403,0.492341
-0.870278,-0.492561
0.870274,0.492569
-0.870149,-0.492789
0.870024,0.493009
-0.87002,-0.493017
0.869895,0.493237
-0.869891,-0.493245
0.869766,0.493465
-0.869761,-0.493473
0.869636,0.493693
-0.869511,-0.493913
0.869507,0.493921
-0.869382,-0.494141
0.869378,0.494148
-0.869253,-0.494368
0.869248,0.494376
-0.869123,-0.494596
0.868998,0.494816
-0.868993,-0.494824
0.868868,0.495043
-0.868864,-0.495051
0.868738,0.495271
-0.868734,-0.495279
0.868609,0.495499
-0.868604,-0.495506
0.868479,0.495726
-0.868353,-0.495946
0.868349,0.495954
-0.868223,-0.496173
0.868219,0.496181
-0.868093,-0.496401
0.868089,0.496409
-0.867963,-0.496628
0.867838,0.496848
-0.867833,-0.496856
0.867707,0.497075
-0.867703,-0.497083
0.867577,0.497302
-0.867573,-0.49731
0.867447,0.49753
-0.867321,-0.497749
0.867317,0.497757
